"hdct02" "hdct03" "hdct04" "pop" "ewloc" "nsloc" "ld02" "fl02" "ld03" "fl03" "ld04" "fl04"
1 1  2 "Eriley"   4   5 1 1 1 1 1 1
0 0  0 "Eriley"   4   6 1 0 1 0 1 0
1 0  2 "NWLF"   4   7 1 1 1 0 1 1
0 0  0 "NWLF"   4   8 1 0 1 0 1 0
1 0  0 "NWLF"   4   9 1 1 1 0 1 0
0 0  0 "NWLF"   4  10 0 0 0 0 0 0
0 0  0 "Eriley"   4  11 0 0 0 0 0 0
2 3  3 "Stevens"   4  12 1 1 1 1 1 1
0 0  0 "Eriley"   8 -12 0 0 0 0 0 0
0 0  0 "Eriley"   8 -11 1 0 1 0 1 0
0 0  0 "Eriley"   8 -10 1 0 1 0 1 0
0 0  0 "Eriley"   8  -9 1 0 1 0 1 0
0 0  0 "Nessman"   8  -8 0 0 0 0 0 0
1 0  0 "Eriley"   8  -7 1 1 1 0 1 0
0 0  0 "Lf"   8  -6 0 0 0 0 0 0
1 0  2 "Eriley"   8  -5 1 1 1 0 1 1
0 1  1 "Eriley"   8  -4 1 0 1 1 1 1
0 1  1 "Lf"   8  -3 1 0 1 1 1 1
0 0  0 "Eriley"   8  -2 1 0 1 0 1 0
3 3  0 "Eriley"   8  -1 1 1 1 1 1 0
0 2  0 "Lf"   8   0 1 0 1 1 1 0
6 4  6 "Eriley"   8   1 1 1 1 1 1 1
2 0  1 "Eriley"   8   2 1 1 1 0 1 1
0 6  0 "Eriley"   8   3 1 0 1 1 1 0
0 0  0 "Eriley"   8   4 1 0 1 0 1 0
0 1  2 "Eriley"   8   5 1 0 1 1 1 1
0 0  0 "Eriley"   8   6 1 0 1 0 1 0
0 0  0 "Lf"   8   7 1 0 1 0 1 0
0 0  1 "SPP"   8   8 1 0 1 0 1 1
0 0  0 "Eriley"   8   9 1 0 1 0 1 0
0 0  0 "Eriley"   8  10 0 0 0 0 0 0
0 0  1 "Eriley"   8  11 1 0 1 0 1 1
0 0  1 "Eriley"   8  12 1 0 1 0 1 1
0 0  0 "NWLF"   3   7 0 0 0 0 0 0
2 0  0 "Lf"   3   8 1 1 1 0 1 0
1 0  0 "SPP"   3   9 1 1 1 0 1 0
0 0  0 "NWLF"   3  10 1 0 1 0 1 0
0 1  0 "AA"   3  11 1 0 1 1 1 0
0 1  2 "NWLF"   3  12 1 0 1 1 1 1
0 4 10 "Stevens"   9  -1 1 0 1 1 1 1
0 1  3 "Stevens"   9   0 1 0 1 1 1 1
1 1  1 "Lf"   9   1 1 1 1 1 1 1
0 0  0 "Lf"   9   2 0 0 0 0 0 0
0 0  1 "Lf"   9   3 1 0 1 0 1 1
1 1  2 "NWLF"   9   4 1 1 1 1 1 1
0 0  0 "Stevens"   9   5 1 0 1 0 1 0
0 0  0 "Stevens"   9   6 1 0 1 0 1 0
0 0  0 "Stevens"   9   7 0 0 0 0 0 0
0 0  0 "NWLF"   9   8 0 0 0 0 0 0
0 0  0 "SPP"   9   9 1 0 1 0 1 0
1 0  0 "Nessman"   9  10 1 1 1 0 1 0
0 0  0 "NWLF"   9  11 1 0 1 0 1 0
0 0  0 "Stevens"   9  12 0 0 0 0 0 0
0 0  0 "NWLF" -11 -12 1 0 1 0 1 0
0 0  0 "NWLF" -11 -11 0 0 0 0 0 0
0 0  0 "Nessman" -11 -10 0 0 0 0 0 0
0 0  0 "Nessman" -11  -9 1 0 1 0 1 0
0 0  0 "SPP" -11  -8 1 0 1 0 1 0
0 0  0 "AA" -11  -7 1 0 1 0 1 0
1 0  3 "Eriley" -11  -6 1 1 1 0 1 1
0 0  0 "NWLF" -11  -5 1 0 0 0 0 0
0 0  0 "Lf" -11  -4 1 0 1 0 1 0
0 0  0 "AA" -11  -3 0 0 0 0 0 0
0 0  0 "Stevens" -11  -2 0 0 0 0 0 0
0 0  0 "Stevens" -11  -1 0 0 0 0 0 0
0 1  2 "NWLF" -11   0 1 0 1 1 1 1
0 0  0 "Nessman" -11   1 0 0 0 0 0 0
0 0  0 "NWLF" -11   2 1 0 1 0 1 0
0 0  0 "Nessman" -11   3 1 0 1 0 1 0
0 0  0 "Nessman" -11   4 1 0 1 0 1 0
0 0  0 "NWLF" -11   5 1 0 1 0 1 0
0 0  0 "Nessman" -11   6 1 0 1 0 1 0
1 1  1 "SPP" -11   8 1 1 1 1 1 1
0 0  0 "Eriley" -11   9 1 0 1 0 1 0
0 0  0 "NWLF" -11  10 1 0 1 0 1 0
0 0  0 "AA" -11  11 1 0 1 0 1 0
0 0  0 "NWLF" -11  12 0 0 0 0 0 0
0 0  0 "NWLF"  -7 -12 0 0 0 0 0 0
0 0  0 "NWLF"  -7 -11 1 0 1 0 1 0
0 0  0 "Stevens"  -7 -10 0 0 0 0 0 0
0 0  0 "Stevens"  -7  -9 1 0 1 0 1 0
0 0  0 "SPP"  -7  -8 1 0 1 0 1 0
0 0  0 "Nessman"  -7  -7 0 0 0 0 0 0
0 0  0 "SPP"  -7  -6 0 0 0 0 0 0
0 0  2 "Nessman"  -7  -4 1 0 1 0 1 1
0 0  1 "AA"  -7  -3 1 0 1 0 1 1
0 0  0 "NWLF"  -7  -2 0 0 0 0 0 0
0 0  0 "SPP"  -7  -1 1 0 1 0 1 0
0 0  0 "NWLF"  -7   0 0 0 0 0 0 0
0 0  0 "Eriley"  -7   1 0 0 0 0 0 0
1 1  4 "NWLF"  -7   2 1 1 1 1 1 1
3 0  2 "Lf"  -7   3 1 1 1 0 1 1
0 0  0 "AA"  -7   4 1 0 1 0 0 0
1 2  4 "NWLF"  -7   5 1 1 1 1 1 1
0 1  3 "NWLF"  -7   6 1 0 1 1 1 1
0 0  3 "NWLF"  -7   7 1 0 1 0 1 1
1 1  1 "SPP"  -7   8 1 1 1 1 1 1
0 2  8 "NWLF"  -7   9 1 0 1 1 1 1
1 0  1 "NWLF"  -7  10 1 1 1 0 1 1
0 0  1 "NWLF"  -7  11 1 0 1 0 1 1
0 0  0 "NWLF"  -7  12 1 0 1 0 1 0
0 0  0 "SPP"  -4 -12 0 0 0 0 0 0
0 0  0 "SPP"  -4 -11 0 0 0 0 0 0
0 0  0 "AA"  -4 -10 1 0 1 0 1 0
0 0  0 "Stevens"  -4  -9 1 0 1 0 1 0
0 0  0 "Lf"  -4  -8 1 0 1 0 1 0
0 0  0 "Eriley"  -4  -7 0 0 0 0 0 0
0 0  2 "Stevens"  -4  -6 1 0 1 0 1 1
0 0  0 "NWLF"  -4  -5 0 0 0 0 0 0
0 0  0 "NWLF"  -4  -4 1 0 0 0 0 0
0 0  0 "SPP"  -4  -3 1 0 1 0 1 0
0 0  0 "Stevens"  -4  -2 1 0 1 0 1 0
0 0  0 "Stevens"  -4  -1 0 0 0 0 0 0
3 3  4 "NWLF"  -4   0 1 1 1 1 1 1
0 0  0 "Eriley"  -4   1 1 0 1 0 1 0
0 0  0 "NWLF"  -4   2 1 0 1 0 1 0
0 0  0 "Nessman"  -4   3 1 0 1 0 1 0
3 3  1 "NWLF"  -4   4 1 1 1 1 1 1
3 2  3 "NWLF"  -4   5 1 1 1 1 1 1
0 3  1 "NWLF"  -4   6 1 0 1 1 1 1
0 0  0 "NWLF"  -4   7 0 0 0 0 0 0
0 1  5 "NWLF"  -4   8 1 0 1 1 1 1
0 0  0 "NWLF"  -4   9 1 0 1 0 1 0
1 0  3 "Stevens"  -4  10 1 1 1 0 1 1
3 4  5 "SPP"  -4  11 1 1 1 1 1 1
0 0  4 "Eriley"  -4  12 1 0 1 0 1 1
0 0  0 "Eriley"   2 -12 0 0 0 0 0 0
0 0  0 "Eriley"   2 -11 0 0 0 0 0 0
0 0  0 "Lf"   2 -10 1 0 1 0 1 0
0 0  0 "Eriley"   2  -9 0 0 0 0 0 0
0 0  0 "SPP"   2  -8 0 0 0 0 0 0
0 0  0 "AA"   2  -7 0 0 0 0 0 0
0 0  0 "Eriley"   2  -6 1 0 1 0 1 0
0 0  0 "AA"   2  -5 0 0 0 0 0 0
1 0  1 "Lf"   2  -4 1 1 1 0 1 1
0 0  0 "Eriley"   2  -3 0 0 0 0 0 0
0 0  0 "Lf"   2  -2 0 0 0 0 0 0
0 0  0 "Nessman"   2  -1 1 0 1 0 1 0
0 0  1 "Eriley"   2   0 1 0 1 0 1 1
0 0  0 "Nessman"   2   1 0 0 0 0 0 0
0 0  3 "SPP"   2   2 1 0 1 0 1 1
0 0  0 "Eriley"   2   3 0 0 0 0 0 0
1 0  1 "Eriley"   2   4 1 1 1 0 1 1
2 1  2 "Lf"   2   5 1 1 1 1 1 1
0 0  1 "AA"   2   7 1 0 1 0 1 1
0 0  0 "Nessman"   2   8 0 0 0 0 0 0
4 0  3 "SPP"   2   9 1 1 1 0 1 1
0 1  2 "Eriley"   2  10 1 0 1 1 1 1
2 0  2 "Eriley"   2  11 1 1 1 0 1 1
0 1  0 "Lf"   2  12 1 0 1 1 1 0
0 0  0 "Lf"   5 -12 0 0 0 0 0 0
0 0  0 "Nessman"   5 -11 1 0 1 0 1 0
0 0  0 "Lf"   5 -10 1 0 1 0 1 0
0 0  0 "SPP"   5  -9 0 0 0 0 0 0
2 2  7 "Stevens"   5  -8 1 1 1 1 1 1
0 0  0 "NWLF"   5  -7 1 0 1 0 1 0
1 1  3 "NWLF"   5  -6 1 1 1 1 1 1
0 0  0 "NWLF"   5  -5 0 0 0 0 0 0
0 1  2 "Stevens"   5  -4 1 0 1 1 1 1
1 0  0 "Stevens"   5  -3 1 1 1 0 1 0
2 0  0 "NWLF"   5  -2 1 1 1 0 1 0
0 1  0 "Stevens"   5  -1 1 0 1 1 0 0
0 1  2 "Stevens"   5   0 1 0 1 1 1 1
1 4  0 "SPP"   5   1 1 1 1 1 1 0
1 2  1 "Lf"   5   2 1 1 1 1 1 1
0 0  0 "NWLF"   5   3 1 0 1 0 0 0
0 0  0 "Stevens"   5   4 0 0 0 0 0 0
0 0  0 "Lf"   5   5 1 0 1 0 1 0
0 0  0 "NWLF"   5   6 0 0 0 0 0 0
0 0  0 "Eriley"   5   7 1 0 1 0 1 0
1 0  0 "Lf"   5   8 1 1 1 0 1 0
0 0  0 "Nessman"   5   9 0 0 0 0 0 0
0 0  0 "NWLF"   5  10 1 0 1 0 1 0
0 0  0 "SPP"   5  11 1 0 1 0 1 0
0 0  1 "Lf"   5  12 1 0 1 0 1 1
0 0  0 "Lf"   9 -12 1 0 1 0 1 0
0 0  0 "Stevens"   9 -11 0 0 0 0 0 0
0 0  0 "Nessman"   9 -10 1 0 1 0 1 0
0 0  0 "NWLF"   9  -9 0 0 0 0 0 0
0 0  0 "NWLF"   9  -8 1 0 1 0 1 0
0 0  0 "Stevens"   9  -7 0 0 0 0 0 0
2 2  3 "Stevens"   9  -5 1 1 1 1 1 1
4 2  9 "AA"   9  -4 1 1 1 1 1 1
0 0  0 "Stevens"   9  -3 0 0 0 0 0 0
0 0  0 "NWLF"   9  -2 0 0 0 0 0 0
0 0  0 "AA"  -9 -12 0 0 0 0 0 0
0 0  0 "SPP"  -9 -11 0 0 0 0 0 0
0 0  0 "Lf"  -9 -10 1 0 0 0 0 0
0 0  0 "Eriley"  -9  -9 1 0 1 0 1 0
0 0  0 "Eriley"  -9  -8 0 0 0 0 0 0
0 1  2 "Eriley"  -9  -6 1 0 1 1 1 1
0 0  2 "Eriley"  -9  -5 1 0 1 0 1 1
0 0  0 "Lf"  -9  -4 0 0 0 0 0 0
0 1  2 "Eriley"  -9  -2 1 0 1 1 1 1
1 0  1 "Lf"  -9  -1 1 1 1 0 1 1
0 0  0 "SPP"  -9   0 1 0 1 0 1 0
0 0  1 "SPP"  -9   1 1 0 1 0 1 1
0 0  1 "Eriley"  -9   2 1 0 1 0 1 1
0 0  0 "Eriley"  -9   3 1 0 1 0 1 0
1 0  1 "Eriley"  -9   4 1 1 1 0 1 1
0 0  0 "Lf"  -9   5 0 0 0 0 0 0
0 0  0 "Eriley"  -9   6 0 0 0 0 0 0
1 0  0 "Eriley"  -9   7 1 1 1 0 1 0
1 0  1 "Lf"  -9   8 1 1 1 0 1 1
0 0  1 "Eriley"  -9   9 1 0 1 0 1 1
0 1  3 "Eriley"  -9  10 1 0 1 1 1 1
0 0  0 "Eriley"  -9  11 1 0 1 0 1 0
0 0  0 "Lf"  -9  12 1 0 1 0 1 0
0 0  0 "Lf"  -5 -12 0 0 0 0 0 0
0 0  0 "Stevens"  -5 -11 0 0 0 0 0 0
0 0  0 "NWLF"  -5 -10 1 0 1 0 1 0
0 0  1 "SPP"  -5  -9 1 0 1 0 1 1
0 0  0 "AA"  -5  -8 1 0 1 0 0 0
2 1  3 "Eriley"  -5  -7 1 1 1 1 1 1
0 0  0 "NWLF"  -5  -6 0 0 0 0 0 0
0 0  0 "Lf"  -5  -5 0 0 0 0 0 0
0 0  0 "NWLF"  -5  -4 0 0 0 0 0 0
3 0  0 "Stevens"  -5  -3 1 1 0 0 0 0
0 0  0 "Stevens"  -5  -2 0 0 0 0 0 0
0 0  0 "SPP"  -5  -1 1 0 1 0 1 0
0 0  0 "NWLF"  -5   0 0 0 0 0 0 0
0 0  0 "NWLF"  -5   1 0 0 0 0 0 0
0 0  3 "NWLF"  -5   2 1 0 1 0 1 1
1 1  2 "Stevens"  -5   3 1 1 1 1 1 1
2 0  3 "SPP"  -5   4 1 1 1 0 1 1
0 0  0 "SPP"  -5   5 0 0 0 0 0 0
0 1  2 "Eriley"  -5   6 1 0 1 1 1 1
1 0  3 "NWLF"  -5   7 1 1 1 0 1 1
0 0  4 "SPP"  -5   8 1 0 1 0 1 1
1 2  8 "AA"  -5   9 1 1 1 1 1 1
3 2  3 "NWLF"  -5  10 1 1 1 1 1 1
0 1  0 "NWLF"  -5  11 1 0 1 1 1 0
3 3  5 "NWLF"  -5  12 1 1 1 1 1 1
0 0  0 "Stevens"  -1 -12 1 0 1 0 1 0
0 0  0 "NWLF"  -1 -11 0 0 0 0 0 0
0 0  0 "NWLF"  -1 -10 0 0 0 0 0 0
0 0  0 "Stevens"  -1  -9 0 0 0 0 0 0
0 0  0 "NWLF"  -1  -8 1 0 1 0 1 0
0 0  0 "NWLF"  -1  -7 1 0 1 0 0 0
0 0  0 "Stevens"  -1  -6 1 0 0 0 0 0
0 0  5 "SPP"  -1  -5 1 0 1 0 1 1
4 0  0 "Nessman"  -1  -4 1 1 1 0 1 0
6 0  0 "SPP"  -1  -3 1 1 0 0 0 0
2 1  2 "Eriley"  -1  -2 1 1 1 1 1 1
0 0  0 "NWLF"  -1  -1 1 0 1 0 0 0
0 0  0 "Lf"  -1   0 0 0 0 0 0 0
6 4  7 "SPP"  -1   1 1 1 1 1 1 1
0 2  1 "Lf"  -1   2 1 0 1 1 1 1
1 0  3 "Stevens"  -1   3 1 1 1 0 1 1
1 0  0 "NWLF"  -1   4 1 1 1 0 1 0
0 0  1 "NWLF"  -1   5 1 0 1 0 1 1
2 3  5 "NWLF"  -1   6 1 1 1 1 1 1
3 2  4 "NWLF"  -1   7 1 1 1 1 1 1
0 0  3 "NWLF"  -1   8 1 0 1 0 1 1
0 4  5 "NWLF"  -1   9 1 0 1 1 1 1
1 2  3 "NWLF"  -1  10 1 1 1 1 1 1
2 1  3 "AA"  -1  11 1 1 1 1 1 1
0 2  2 "SPP"  -1  12 1 0 1 1 1 1
0 0  0 "NWLF"   6 -12 1 0 1 0 1 0
0 0  0 "Stevens"   6 -11 0 0 0 0 0 0
0 0  0 "Stevens"   6 -10 0 0 0 0 0 0
0 0  0 "Eriley"   6  -9 1 0 0 0 0 0
0 0  0 "NWLF"   6  -8 1 0 0 0 0 0
0 0  0 "NWLF"   6  -7 1 0 0 0 0 0
0 0  0 "NWLF"   6  -6 0 0 0 0 0 0
2 5  3 "Stevens"   6  -5 1 1 1 1 1 1
3 0  5 "Stevens"   6  -4 1 1 1 0 1 1
0 0  0 "Stevens"   6  -3 0 0 0 0 0 0
1 4  1 "SPP"   6  -2 1 1 1 1 1 1
2 0  2 "SPP"   6  -1 1 1 1 0 1 1
3 1  2 "SPP"   6   0 1 1 1 1 1 1
0 2  1 "Eriley"   6   1 1 0 1 1 1 1
0 0  0 "NWLF"   6   2 1 0 1 0 1 0
1 0  0 "NWLF"   6   3 1 1 1 0 1 0
0 0  0 "NWLF"   6   4 0 0 0 0 0 0
0 1  1 "Stevens"   6   5 1 0 1 1 1 1
0 0  0 "NWLF"   6   6 0 0 0 0 0 0
0 0  0 "Stevens"   6   7 1 0 1 0 1 0
0 0  0 "NWLF"   6   8 1 0 1 0 1 0
0 0  0 "SPP"   6   9 1 0 0 0 0 0
0 0  0 "Eriley"   6  10 1 0 1 0 1 0
0 0  1 "SPP"   6  11 1 0 1 0 1 1
0 3  0 "Stevens"   6  12 1 0 1 1 1 0
4 0  0 "NWLF"  10  -5 1 1 1 0 0 0
3 2  6 "NWLF"  10  -2 1 1 1 1 1 1
0 1  4 "Stevens"  10   0 1 0 1 1 1 1
1 0  0 "NWLF"  10   1 1 1 1 0 1 0
1 0  1 "NWLF"  10   2 1 1 1 0 1 1
0 1  1 "Lf"  10   3 1 0 1 1 1 1
1 0  0 "Stevens"  10   4 1 1 1 0 1 0
0 0  0 "Lf"  10   5 1 0 1 0 1 0
0 0  0 "Eriley"  10   6 0 0 0 0 0 0
0 0  0 "SPP"  10   7 1 0 1 0 1 0
0 0  1 "SPP"  10   9 1 0 1 0 1 1
0 0  0 "Lf"  10  10 1 0 1 0 1 0
2 2  4 "NWLF"  10  11 1 1 1 1 1 1
0 0  0 "Stevens"  10  12 0 0 0 0 0 0
0 0  0 "AA"  12 -10 1 0 1 0 1 0
0 0  0 "Eriley"  12  -9 0 0 0 0 0 0
0 0  0 "Lf"  12  -8 1 0 1 0 1 0
0 0  3 "SPP"  12  -7 1 0 1 0 1 1
0 0  0 "AA"  12  -6 0 0 0 0 0 0
0 0  1 "SPP"  12  -5 1 0 1 0 1 1
0 0  0 "Eriley"  12  -4 0 0 0 0 0 0
3 1  5 "Lf"  12  -3 1 1 1 1 1 1
0 0  0 "Eriley"  12  -2 0 0 0 0 0 0
1 0  3 "SPP"  12  -1 1 1 1 0 1 1
2 1  4 "Lf"  12   0 1 1 1 1 1 1
0 0  0 "Eriley"  12   1 0 0 0 0 0 0
1 0  2 "Lf"  12   2 1 1 1 0 1 1
2 3  1 "SPP"  12   3 1 1 1 1 1 1
0 0  0 "SPP"  12   4 0 0 0 0 0 0
1 0  0 "Eriley"  12   5 1 1 1 0 1 0
0 0  0 "SPP"  12   6 0 0 0 0 0 0
0 0  0 "Eriley"  12   7 1 0 0 0 0 0
1 0  0 "AA"  12   8 1 1 1 0 1 0
1 0  2 "Eriley"  12  10 1 1 1 0 1 1
3 2  5 "AA"  12  11 1 1 1 1 1 1
0 0  0 "NWLF" -12 -11 0 0 0 0 0 0
0 0  0 "Stevens" -12  -9 1 0 1 0 1 0
0 0  0 "NWLF" -12  -8 1 0 1 0 1 0
0 0  0 "NWLF" -12  -7 1 0 1 0 1 0
0 0  0 "NWLF" -12  -6 1 0 1 0 1 0
0 0  0 "NWLF" -12  -5 1 0 1 0 1 0
0 0  0 "NWLF" -12  -4 0 0 0 0 0 0
0 0  0 "NWLF" -12  -3 1 0 1 0 1 0
0 0  0 "NWLF" -12  -2 1 0 1 0 1 0
0 0  0 "NWLF" -12  -1 0 0 0 0 0 0
0 0  0 "Stevens" -12   0 0 0 0 0 0 0
0 0  0 "Stevens" -12   1 0 0 0 0 0 0
0 0  0 "Stevens" -12   2 1 0 1 0 1 0
0 0  0 "NWLF" -12   3 0 0 0 0 0 0
0 0  0 "NWLF" -12   4 0 0 0 0 0 0
0 0  0 "Lf" -12   5 0 0 0 0 0 0
0 1  3 "SPP" -12   6 1 0 1 1 1 1
1 0  1 "NWLF" -12   7 1 1 1 0 1 1
0 0  0 "AA" -12   8 0 0 0 0 0 0
0 0  0 "NWLF" -12   9 0 0 0 0 0 0
0 0  0 "Stevens" -12  10 1 0 1 0 1 0
1 0  1 "Stevens" -12  11 1 1 1 0 1 1
0 0  0 "NWLF"  -6 -12 1 0 1 0 1 0
0 0  0 "NWLF"  -6 -11 0 0 0 0 0 0
0 0  0 "NWLF"  -6 -10 0 0 0 0 0 0
0 0  0 "NWLF"  -6  -9 1 0 1 0 1 0
0 0  0 "NWLF"  -6  -8 0 0 0 0 0 0
0 0  0 "Lf"  -6  -7 0 0 0 0 0 0
0 0  1 "NWLF"  -6  -6 1 0 1 0 1 1
0 0  0 "NWLF"  -6  -5 1 0 1 0 1 0
0 0  0 "NWLF"  -6  -4 1 0 1 0 1 0
0 1  2 "SPP"  -6  -3 1 0 1 1 1 1
0 1  0 "Eriley"  -6  -2 1 0 1 1 1 0
0 1  2 "AA"  -6  -1 1 0 1 1 1 1
0 0  0 "NWLF"  -6   0 1 0 1 0 1 0
0 0  0 "Nessman"  -6   1 1 0 1 0 1 0
0 0  1 "Eriley"  -6   2 1 0 1 0 1 1
0 1  0 "NWLF"  -6   3 1 0 1 1 1 0
2 0  3 "NWLF"  -6   4 1 1 1 0 1 1
0 0  0 "AA"  -6   5 0 0 0 0 0 0
0 0  2 "Lf"  -6   6 1 0 1 0 1 1
0 0  2 "Stevens"  -6   7 1 0 1 0 1 1
0 1  1 "SPP"  -6   8 1 0 1 1 1 1
2 2  3 "NWLF"  -6   9 1 1 1 1 1 1
0 0  0 "NWLF"  -6  10 0 0 0 0 0 0
1 0  2 "Eriley"  -6  11 1 1 1 0 1 1
0 1  0 "SPP"  -6  12 1 0 1 1 1 0
0 0  0 "Eriley"  -2 -12 1 0 1 0 1 0
0 0  0 "SPP"  -2 -11 0 0 0 0 0 0
0 0  0 "Eriley"  -2 -10 0 0 0 0 0 0
1 0  0 "AA"  -2  -8 1 1 1 0 0 0
0 0  0 "Lf"  -2  -7 1 0 0 0 0 0
0 0  4 "SPP"  -2  -6 1 0 1 0 1 1
2 0  1 "Nessman"  -2  -5 1 1 1 0 1 1
0 0  0 "Nessman"  -2  -4 1 0 1 0 1 0
0 0  0 "Lf"  -2  -3 1 0 1 0 1 0
0 0  1 "Lf"  -2  -2 1 0 1 0 1 1
1 0  1 "Eriley"  -2  -1 1 1 1 0 1 1
1 0  1 "Eriley"  -2   0 1 1 1 0 1 1
0 0  0 "SPP"  -2   1 0 0 0 0 0 0
4 1  1 "SPP"  -2   2 1 1 1 1 1 1
2 1  1 "Eriley"  -2   3 1 1 1 1 1 1
